[2021-08-02 20:29:25.593150] PING 172.16.0.2 (172.16.0.2) 56(84) bytes of data.
[2021-08-02 20:29:25.593313] 64 bytes from 172.16.0.2: icmp_seq=576 ttl=64 time=37.4 ms
[2021-08-02 20:29:25.780950] 64 bytes from 172.16.0.2: icmp_seq=577 ttl=64 time=24.2 ms
[2021-08-02 20:29:25.993107] 64 bytes from 172.16.0.2: icmp_seq=578 ttl=64 time=35.9 ms
[2021-08-02 20:29:26.178242] 64 bytes from 172.16.0.2: icmp_seq=579 ttl=64 time=20.9 ms
[2021-08-02 20:29:26.392334] 64 bytes from 172.16.0.2: icmp_seq=580 ttl=64 time=33.8 ms
[2021-08-02 20:29:26.585028] 64 bytes from 172.16.0.2: icmp_seq=581 ttl=64 time=25.4 ms
[2021-08-02 20:29:26.783909] 64 bytes from 172.16.0.2: icmp_seq=582 ttl=64 time=23.6 ms
[2021-08-02 20:29:26.994954] 64 bytes from 172.16.0.2: icmp_seq=583 ttl=64 time=33.9 ms
[2021-08-02 20:29:27.191600] 64 bytes from 172.16.0.2: icmp_seq=584 ttl=64 time=29.2 ms
[2021-08-02 20:29:27.389965] 64 bytes from 172.16.0.2: icmp_seq=585 ttl=64 time=26.9 ms
[2021-08-02 20:29:27.587364] 64 bytes from 172.16.0.2: icmp_seq=586 ttl=64 time=24.2 ms
[2021-08-02 20:29:27.784187] 64 bytes from 172.16.0.2: icmp_seq=587 ttl=64 time=20.5 ms
[2021-08-02 20:29:27.988413] 64 bytes from 172.16.0.2: icmp_seq=588 ttl=64 time=23.9 ms
[2021-08-02 20:29:28.190818] 64 bytes from 172.16.0.2: icmp_seq=589 ttl=64 time=25.1 ms
[2021-08-02 20:29:28.388813] 64 bytes from 172.16.0.2: icmp_seq=590 ttl=64 time=23.7 ms
[2021-08-02 20:29:28.587540] 64 bytes from 172.16.0.2: icmp_seq=591 ttl=64 time=21.5 ms
[2021-08-02 20:29:28.790917] 64 bytes from 172.16.0.2: icmp_seq=592 ttl=64 time=24.1 ms
[2021-08-02 20:29:28.995077] 64 bytes from 172.16.0.2: icmp_seq=593 ttl=64 time=27.9 ms
[2021-08-02 20:29:29.195990] 64 bytes from 172.16.0.2: icmp_seq=594 ttl=64 time=27.5 ms
[2021-08-02 20:29:29.394001] 64 bytes from 172.16.0.2: icmp_seq=595 ttl=64 time=24.8 ms
[2021-08-02 20:29:29.606386] 64 bytes from 172.16.0.2: icmp_seq=596 ttl=64 time=36.1 ms
[2021-08-02 20:29:29.789393] 64 bytes from 172.16.0.2: icmp_seq=597 ttl=64 time=18.7 ms
[2021-08-02 20:29:29.994578] 64 bytes from 172.16.0.2: icmp_seq=598 ttl=64 time=22.8 ms
[2021-08-02 20:29:30.196215] 64 bytes from 172.16.0.2: icmp_seq=599 ttl=64 time=24.2 ms
[2021-08-02 20:29:30.399678] 64 bytes from 172.16.0.2: icmp_seq=600 ttl=64 time=27.0 ms
[2021-08-02 20:29:30.598212] 64 bytes from 172.16.0.2: icmp_seq=601 ttl=64 time=25.3 ms
[2021-08-02 20:29:30.795636] 64 bytes from 172.16.0.2: icmp_seq=602 ttl=64 time=21.9 ms
[2021-08-02 20:29:31.011761] 64 bytes from 172.16.0.2: icmp_seq=603 ttl=64 time=37.7 ms
[2021-08-02 20:29:31.216654] 64 bytes from 172.16.0.2: icmp_seq=604 ttl=64 time=42.6 ms
[2021-08-02 20:29:31.419156] 64 bytes from 172.16.0.2: icmp_seq=605 ttl=64 time=44.2 ms
[2021-08-02 20:29:31.610988] 64 bytes from 172.16.0.2: icmp_seq=606 ttl=64 time=35.6 ms
[2021-08-02 20:29:31.818175] 64 bytes from 172.16.0.2: icmp_seq=607 ttl=64 time=41.9 ms
[2021-08-02 20:29:32.000078] 64 bytes from 172.16.0.2: icmp_seq=608 ttl=64 time=23.6 ms
[2021-08-02 20:29:32.217628] 64 bytes from 172.16.0.2: icmp_seq=609 ttl=64 time=41.3 ms
[2021-08-02 20:29:32.397951] 64 bytes from 172.16.0.2: icmp_seq=610 ttl=64 time=21.0 ms
[2021-08-02 20:29:32.695134] 64 bytes from 172.16.0.2: icmp_seq=611 ttl=64 time=117 ms
[2021-08-02 20:29:32.871748] 64 bytes from 172.16.0.2: icmp_seq=612 ttl=64 time=93.5 ms
[2021-08-02 20:29:33.040184] 64 bytes from 172.16.0.2: icmp_seq=613 ttl=64 time=61.2 ms
[2021-08-02 20:29:33.236164] 64 bytes from 172.16.0.2: icmp_seq=614 ttl=64 time=57.7 ms
[2021-08-02 20:29:33.424465] 64 bytes from 172.16.0.2: icmp_seq=615 ttl=64 time=45.1 ms
[2021-08-02 20:29:33.603023] 64 bytes from 172.16.0.2: icmp_seq=616 ttl=64 time=23.3 ms
[2021-08-02 20:29:33.809210] 64 bytes from 172.16.0.2: icmp_seq=617 ttl=64 time=28.9 ms
[2021-08-02 20:29:34.013972] 64 bytes from 172.16.0.2: icmp_seq=618 ttl=64 time=32.5 ms
[2021-08-02 20:29:34.211027] 64 bytes from 172.16.0.2: icmp_seq=619 ttl=64 time=29.8 ms
[2021-08-02 20:29:34.407878] 64 bytes from 172.16.0.2: icmp_seq=620 ttl=64 time=25.6 ms
[2021-08-02 20:29:34.618827] 64 bytes from 172.16.0.2: icmp_seq=621 ttl=64 time=35.6 ms
[2021-08-02 20:29:34.802974] 64 bytes from 172.16.0.2: icmp_seq=622 ttl=64 time=19.0 ms
[2021-08-02 20:29:35.020011] 64 bytes from 172.16.0.2: icmp_seq=623 ttl=64 time=35.8 ms
[2021-08-02 20:29:35.211868] 64 bytes from 172.16.0.2: icmp_seq=624 ttl=64 time=27.1 ms
[2021-08-02 20:29:35.399625] 64 bytes from 172.16.0.2: icmp_seq=625 ttl=64 time=14.5 ms
[2021-08-02 20:29:35.611360] 64 bytes from 172.16.0.2: icmp_seq=626 ttl=64 time=25.4 ms
[2021-08-02 20:29:35.802640] 64 bytes from 172.16.0.2: icmp_seq=627 ttl=64 time=15.9 ms
[2021-08-02 20:29:36.000964] 64 bytes from 172.16.0.2: icmp_seq=628 ttl=64 time=14.0 ms
[2021-08-02 20:29:36.204278] 64 bytes from 172.16.0.2: icmp_seq=629 ttl=64 time=17.9 ms
[2021-08-02 20:29:36.404419] 64 bytes from 172.16.0.2: icmp_seq=630 ttl=64 time=17.9 ms
[2021-08-02 20:29:36.601849] 64 bytes from 172.16.0.2: icmp_seq=631 ttl=64 time=14.2 ms
[2021-08-02 20:29:36.815573] 64 bytes from 172.16.0.2: icmp_seq=632 ttl=64 time=27.4 ms
[2021-08-02 20:29:37.005375] 64 bytes from 172.16.0.2: icmp_seq=633 ttl=64 time=16.5 ms
[2021-08-02 20:29:37.207658] 64 bytes from 172.16.0.2: icmp_seq=634 ttl=64 time=19.0 ms
[2021-08-02 20:29:37.404243] 64 bytes from 172.16.0.2: icmp_seq=635 ttl=64 time=15.3 ms
[2021-08-02 20:29:37.620421] 64 bytes from 172.16.0.2: icmp_seq=636 ttl=64 time=30.9 ms
[2021-08-02 20:29:37.816872] 64 bytes from 172.16.0.2: icmp_seq=637 ttl=64 time=26.0 ms
[2021-08-02 20:29:38.017539] 64 bytes from 172.16.0.2: icmp_seq=638 ttl=64 time=26.5 ms
[2021-08-02 20:29:38.213819] 64 bytes from 172.16.0.2: icmp_seq=639 ttl=64 time=23.0 ms
