[2021-08-02 20:29:32.325100] PING 172.16.0.1 (172.16.0.1) 56(84) bytes of data.
[2021-08-02 20:29:32.325195] 64 bytes from 172.16.0.1: icmp_seq=1 ttl=64 time=40.6 ms
[2021-08-02 20:29:32.504879] 64 bytes from 172.16.0.1: icmp_seq=2 ttl=64 time=34.0 ms
[2021-08-02 20:29:32.709150] 64 bytes from 172.16.0.1: icmp_seq=3 ttl=64 time=37.9 ms
[2021-08-02 20:29:32.942626] 64 bytes from 172.16.0.1: icmp_seq=4 ttl=64 time=71.1 ms
[2021-08-02 20:29:33.157180] 64 bytes from 172.16.0.1: icmp_seq=5 ttl=64 time=85.3 ms
[2021-08-02 20:29:33.345442] 64 bytes from 172.16.0.1: icmp_seq=6 ttl=64 time=73.0 ms
[2021-08-02 20:29:33.566575] 64 bytes from 172.16.0.1: icmp_seq=7 ttl=64 time=93.9 ms
[2021-08-02 20:29:33.702201] 64 bytes from 172.16.0.1: icmp_seq=8 ttl=64 time=28.4 ms
[2021-08-02 20:29:33.888375] 64 bytes from 172.16.0.1: icmp_seq=9 ttl=64 time=14.0 ms
[2021-08-02 20:29:34.106533] 64 bytes from 172.16.0.1: icmp_seq=10 ttl=64 time=31.9 ms
[2021-08-02 20:29:34.303078] 64 bytes from 172.16.0.1: icmp_seq=11 ttl=64 time=27.3 ms
[2021-08-02 20:29:34.500777] 64 bytes from 172.16.0.1: icmp_seq=12 ttl=64 time=24.5 ms
[2021-08-02 20:29:34.698127] 64 bytes from 172.16.0.1: icmp_seq=13 ttl=64 time=21.1 ms
[2021-08-02 20:29:34.905469] 64 bytes from 172.16.0.1: icmp_seq=14 ttl=64 time=28.2 ms
[2021-08-02 20:29:35.111524] 64 bytes from 172.16.0.1: icmp_seq=15 ttl=64 time=33.7 ms
[2021-08-02 20:29:35.299151] 64 bytes from 172.16.0.1: icmp_seq=16 ttl=64 time=20.3 ms
[2021-08-02 20:29:35.495660] 64 bytes from 172.16.0.1: icmp_seq=17 ttl=64 time=16.2 ms
[2021-08-02 20:29:35.696491] 64 bytes from 172.16.0.1: icmp_seq=18 ttl=64 time=16.4 ms
[2021-08-02 20:29:35.903635] 64 bytes from 172.16.0.1: icmp_seq=19 ttl=64 time=22.9 ms
[2021-08-02 20:29:36.095835] 64 bytes from 172.16.0.1: icmp_seq=20 ttl=64 time=14.9 ms
[2021-08-02 20:29:36.300154] 64 bytes from 172.16.0.1: icmp_seq=21 ttl=64 time=19.1 ms
[2021-08-02 20:29:36.500553] 64 bytes from 172.16.0.1: icmp_seq=22 ttl=64 time=19.1 ms
[2021-08-02 20:29:36.697038] 64 bytes from 172.16.0.1: icmp_seq=23 ttl=64 time=14.9 ms
[2021-08-02 20:29:36.903718] 64 bytes from 172.16.0.1: icmp_seq=24 ttl=64 time=21.4 ms
[2021-08-02 20:29:37.100827] 64 bytes from 172.16.0.1: icmp_seq=25 ttl=64 time=17.8 ms
[2021-08-02 20:29:37.301420] 64 bytes from 172.16.0.1: icmp_seq=26 ttl=64 time=17.1 ms
[2021-08-02 20:29:37.499551] 64 bytes from 172.16.0.1: icmp_seq=27 ttl=64 time=14.8 ms
[2021-08-02 20:29:37.702710] 64 bytes from 172.16.0.1: icmp_seq=28 ttl=64 time=16.8 ms
[2021-08-02 20:29:37.902194] 64 bytes from 172.16.0.1: icmp_seq=29 ttl=64 time=14.9 ms
[2021-08-02 20:29:38.111068] 64 bytes from 172.16.0.1: icmp_seq=30 ttl=64 time=23.6 ms
[2021-08-02 20:29:38.307569] 64 bytes from 172.16.0.1: icmp_seq=31 ttl=64 time=19.1 ms
[2021-08-02 20:29:38.515064] 64 bytes from 172.16.0.1: icmp_seq=32 ttl=64 time=26.2 ms
[2021-08-02 20:29:38.703185] 64 bytes from 172.16.0.1: icmp_seq=33 ttl=64 time=13.8 ms
[2021-08-02 20:29:38.908810] 64 bytes from 172.16.0.1: icmp_seq=34 ttl=64 time=18.5 ms
[2021-08-02 20:29:39.116291] 64 bytes from 172.16.0.1: icmp_seq=35 ttl=64 time=25.1 ms
[2021-08-02 20:29:39.316763] 64 bytes from 172.16.0.1: icmp_seq=36 ttl=64 time=25.2 ms
[2021-08-02 20:29:39.506326] 64 bytes from 172.16.0.1: icmp_seq=37 ttl=64 time=14.0 ms
[2021-08-02 20:29:39.711383] 64 bytes from 172.16.0.1: icmp_seq=38 ttl=64 time=18.8 ms
[2021-08-02 20:29:39.912585] 64 bytes from 172.16.0.1: icmp_seq=39 ttl=64 time=18.8 ms
[2021-08-02 20:29:40.121431] 64 bytes from 172.16.0.1: icmp_seq=40 ttl=64 time=26.3 ms
[2021-08-02 20:29:40.324478] 64 bytes from 172.16.0.1: icmp_seq=41 ttl=64 time=28.8 ms
[2021-08-02 20:29:40.512926] 64 bytes from 172.16.0.1: icmp_seq=42 ttl=64 time=16.2 ms
[2021-08-02 20:29:40.716034] 64 bytes from 172.16.0.1: icmp_seq=43 ttl=64 time=18.8 ms
[2021-08-02 20:29:40.925143] 64 bytes from 172.16.0.1: icmp_seq=44 ttl=64 time=26.8 ms
[2021-08-02 20:29:41.121745] 64 bytes from 172.16.0.1: icmp_seq=45 ttl=64 time=22.3 ms
[2021-08-02 20:29:41.314672] 64 bytes from 172.16.0.1: icmp_seq=46 ttl=64 time=14.7 ms
[2021-08-02 20:29:41.523183] 64 bytes from 172.16.0.1: icmp_seq=47 ttl=64 time=22.2 ms
