Aug 27 11:00:39 Opening RF device...
Aug 27 11:00:39 Opening USRP channels=1, args: type=b200,master_clock_rate=23.04e6
Aug 27 11:00:39 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -9.0,  PSR, 3.9, 2021-08-27 11:00:39:172 
Aug 27 11:00:39 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -9.1,  PSR, 7.0, 2021-08-27 11:00:39:446 
Aug 27 11:00:39 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -9.2,  PSR, 7.0, 2021-08-27 11:00:39:716 
Aug 27 11:00:40 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.9,  PSR, 6.4, 2021-08-27 11:00:39:986 
Aug 27 11:00:40 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.5,  PSR, 8.3, 2021-08-27 11:00:40:256 
Aug 27 11:00:40 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.8,  PSR, 6.0, 2021-08-27 11:00:40:526 
Aug 27 11:00:41 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.8,  PSR, 6.8, 2021-08-27 11:00:40:796 
Aug 27 11:00:41 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -9.1,  PSR, 6.2, 2021-08-27 11:00:41:066 
Aug 27 11:00:41 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.4,  PSR, 7.1, 2021-08-27 11:00:41:336 
Aug 27 11:00:42 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.9,  PSR, 5.9, 2021-08-27 11:00:41:607 
Aug 27 11:00:43 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.5,  PSR, 8.3, 2021-08-27 11:00:43:072 
Aug 27 11:00:44 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.7,  PSR, 6.3, 2021-08-27 11:00:43:338 
Aug 27 11:00:44 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.5,  PSR, 6.6, 2021-08-27 11:00:44:027 
Aug 27 11:00:44 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.6,  PSR, 6.5, 2021-08-27 11:00:44:528 
Aug 27 11:00:45 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.3,  PSR, 7.8, 2021-08-27 11:00:44:888 
Aug 27 11:00:45 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -9.1,  PSR, 5.2, 2021-08-27 11:00:45:208 
