Aug 27 11:22:38 Opening RF device...
Aug 27 11:22:38 Opening USRP channels=1, args: type=b200,master_clock_rate=23.04e6
Aug 27 11:22:39 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.4,  PSR, 8.0, 2021-08-27 11:22:38:907 
Aug 27 11:22:39 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.4,  PSR, 6.7, 2021-08-27 11:22:39:175 
Aug 27 11:22:39 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -7.5,  PSR, 6.5, 2021-08-27 11:22:39:444 
Aug 27 11:22:39 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.1,  PSR, 6.2, 2021-08-27 11:22:39:715 
Aug 27 11:22:40 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.7,  PSR, 7.1, 2021-08-27 11:22:39:986 
Aug 27 11:22:40 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.4,  PSR, 5.6, 2021-08-27 11:22:40:255 
Aug 27 11:22:40 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -7.9,  PSR, 7.6, 2021-08-27 11:22:40:525 
Aug 27 11:22:41 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.2,  PSR, 6.2, 2021-08-27 11:22:40:795 
Aug 27 11:22:41 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -7.7,  PSR, 7.5, 2021-08-27 11:22:41:065 
Aug 27 11:22:41 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.4,  PSR, 7.1, 2021-08-27 11:22:41:334 
Aug 27 11:22:41 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -7.9,  PSR, 6.8, 2021-08-27 11:22:41:605 
Aug 27 11:22:42 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -7.6,  PSR, 7.6, 2021-08-27 11:22:41:875 
Aug 27 11:22:42 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -7.9,  PSR, 7.4, 2021-08-27 11:22:42:145 
Aug 27 11:22:42 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.1,  PSR, 7.4, 2021-08-27 11:22:42:415 
Aug 27 11:22:42 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.7,  PSR, 6.8, 2021-08-27 11:22:42:685 
Aug 27 11:22:43 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.1,  PSR, 6.8, 2021-08-27 11:22:42:955 
Aug 27 11:22:43 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -7.7,  PSR, 7.8, 2021-08-27 11:22:43:225 
Aug 27 11:22:43 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.4,  PSR, 6.4, 2021-08-27 11:22:43:495 
Aug 27 11:22:44 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -7.6,  PSR, 6.7, 2021-08-27 11:22:43:764 
Aug 27 11:22:44 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.2,  PSR, 5.9, 2021-08-27 11:22:44:035 
Aug 27 11:22:44 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.5,  PSR, 6.6, 2021-08-27 11:22:44:306 
Aug 27 11:22:44 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -7.8,  PSR, 6.0, 2021-08-27 11:22:44:575 
Aug 27 11:22:45 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -7.9,  PSR, 5.0, 2021-08-27 11:22:44:845 
Aug 27 11:22:45 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.4,  PSR, 6.6, 2021-08-27 11:22:45:585 
Aug 27 11:22:46 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -7.8,  PSR, 7.8, 2021-08-27 11:22:45:985 
Aug 27 11:22:47 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.0,  PSR, 9.4, 2021-08-27 11:22:47:240 
Aug 27 11:22:48 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.3,  PSR, 4.6, 2021-08-27 11:22:47:765 
Aug 27 11:22:48 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -7.9,  PSR, 6.5, 2021-08-27 11:22:48:315 
Aug 27 11:22:49 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.5,  PSR, 7.4, 2021-08-27 11:22:48:735 
Aug 27 11:22:49 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.0,  PSR, 7.4, 2021-08-27 11:22:49:005 
Aug 27 11:22:49 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.0,  PSR, 8.1, 2021-08-27 11:22:49:325 
Aug 27 11:22:50 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.4,  PSR, 7.0, 2021-08-27 11:22:49:595 
Aug 27 11:22:51 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -7.8,  PSR, 9.1, 2021-08-27 11:22:50:521 
